"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Ronny Rodriguez","Tigers","62","191","206","42","30","7","0","5","17","20","10","0","42","0","2","3","7","2","0",".220","11875"
"Pete Kozma","Tigers","27","69","73","15","9","4","1","1","7","8","2","0","15","0","1","1","2","0","1",".217","2539"
"Blake Trahan","Reds","11","14","14","3","3","0","0","0","2","0","0","0","4","0","0","0","0","0","0",".214","17588"
"J.P. Crawford","Phillies","49","117","138","25","13","6","3","3","17","12","13","0","37","5","0","2","2","2","0",".214","15491"
"Andrew Romine","Mariners","75","119","131","25","22","2","1","0","15","2","7","0","39","1","0","4","2","1","0",".210","1159"
"Kevin Newman","Pirates","31","91","97","19","17","2","0","0","7","6","4","1","23","1","1","0","2","0","1",".209","17696"
"Kelby Tomlinson","Giants","63","140","152","29","23","4","2","0","9","10","9","0","35","2","0","1","3","0","2",".207","13005"
"Jose Reyes","Mets","110","228","251","43","24","12","3","4","30","16","22","1","39","0","0","1","5","5","2",".189","1736"
"Max Moroff","Pirates","26","59","67","11","7","1","0","3","7","9","7","1","24","1","0","0","0","0","0",".186","14556"
"Hanser Alberto","Rangers","13","27","30","5","3","2","0","0","0","0","2","0","4","0","0","1","0","0","1",".185","11902"
"Yadiel Rivera","Marlins","111","139","160","24","20","3","0","1","13","9","19","3","51","0","2","0","3","2","1",".173","11863"
"Sean Rodriguez","Pirates","66","150","173","25","14","5","1","5","21","19","22","1","60","1","0","0","1","1","0",".167","6589"
"Cliff Pennington","Reds","16","29","34","4","4","0","0","0","1","0","5","0","13","0","0","0","1","0","0",".138","3395"
"Eric Sogard","Brewers","55","97","113","13","10","3","0","0","7","2","12","1","23","2","1","1","3","3","0",".134","7927"
"Javier Guerra","Padres","13","16","19","2","2","0","0","0","2","1","3","0","9","0","0","0","0","0","0",".125","17292"
"Nate Orf","Brewers","15","21","25","2","1","0","0","1","4","1","3","0","8","1","0","0","1","1","0",".095","15407"
"Nolan Fontana","Angels","8","11","12","1","0","0","0","1","1","1","1","0","6","0","0","0","0","0","0",".091","13267"
"Gift Ngoepe","Blue Jays","13","18","19","1","1","0","0","0","2","0","1","0","12","0","0","0","0","0","0",".056","10340"
