"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Cedric Mullins II","Orioles","45","170","191","40","27","9","0","4","23","11","17","0","37","2","0","2","1","2","3",".235","17929"
"Gorkys Hernandez","Giants","142","414","451","97","64","16","2","15","52","40","27","1","113","4","4","2","14","8","5",".234","4146"
"Jackie Bradley Jr.","Red Sox","144","474","535","111","61","33","4","13","76","59","46","3","137","11","4","0","6","17","1",".234","12984"
"Andrew Toles","Dodgers","17","30","32","7","5","2","0","0","5","4","2","1","8","0","0","0","1","1","0",".233","13414"
"Ian Happ","Cubs","142","387","462","90","54","19","2","15","56","44","70","9","167","3","2","0","6","8","4",".233","17919"
"Michael A. Taylor","Nationals","134","353","385","80","49","22","3","6","46","28","29","2","116","1","0","2","9","24","6",".227","11489"
"Bradley Zimmer","Indians","34","106","114","24","17","5","0","2","14","9","7","0","44","1","0","0","1","4","1",".226","16221"
"Carlos Tocci","Rangers","66","120","135","27","22","3","2","0","11","5","7","0","39","1","1","6","2","0","3",".225","14558"
"Rajai Davis","Indians","101","196","216","44","36","6","1","1","33","6","11","0","48","4","1","4","2","21","7",".224","3708"
"Dustin Fowler","Athletics","69","192","203","43","32","3","2","6","19","23","8","0","47","1","2","0","2","6","4",".224","17098"
"Max Kepler","Twins","156","532","611","119","65","30","4","20","80","58","71","2","96","5","3","0","8","4","5",".224","12144"
"Gregor Blanco","Giants","68","189","203","41","29","7","3","2","19","12","12","0","58","0","1","1","2","6","2",".217","3123"
"Kevin Kiermaier","Rays","88","332","367","72","44","12","9","7","44","29","25","2","91","6","2","2","4","10","5",".217","11038"
"Delino DeShields","Rangers","106","334","393","72","55","14","1","2","52","22","43","0","83","3","1","12","1","20","4",".216","11379"
"Jake Marisnick","Astros","103","213","235","45","26","8","1","10","34","28","15","1","84","4","1","1","6","6","2",".211","11339"
"Michael Hermosillo","Angels","31","57","62","12","7","4","0","1","7","1","3","0","17","2","0","0","0","0","1",".211","16285"
"JaCoby Jones","Tigers","129","429","467","89","50","22","6","11","54","34","24","0","142","11","2","1","9","13","5",".207","14818"
"Isaac Galloway","Marlins","43","64","74","13","7","3","0","3","7","7","9","0","21","0","0","1","0","1","1",".203","5238"
"Eric Young Jr.","Angels","41","109","117","22","15","4","2","1","12","8","6","0","28","1","1","0","4","5","1",".202","7158"
"Raimel Tapia","Rockies","25","25","27","5","1","2","1","1","6","6","2","0","7","0","0","0","0","0","0",".200","14350"
"Jonathan Davis","Blue Jays","20","25","27","5","4","1","0","0","3","0","1","0","6","1","0","0","2","3","0",".200","15104"
"Lewis Brinson","Marlins","109","382","406","76","50","10","5","11","31","42","17","2","120","4","2","0","6","2","1",".199","14352"
"Magneuris Sierra","Marlins","54","147","156","28","25","3","0","0","10","7","6","1","39","0","0","3","0","3","2",".190","17023"
"Jarrod Dyson","Diamondbacks","67","206","237","39","31","4","2","2","29","12","27","2","34","0","1","3","3","16","3",".189","4866"
"Brett Phillips","- - -","51","134","147","25","16","4","3","2","15","11","11","0","61","1","1","0","2","1","1",".187","14735"
"Drew Robinson","Rangers","47","109","125","20","14","3","0","3","20","9","16","0","57","0","0","0","0","2","1",".183","11761"
"Tim Locastro","Dodgers","18","11","14","2","1","1","0","0","6","0","2","0","5","1","0","0","0","4","0",".182","15124"
"Keon Broxton","Brewers","51","78","89","14","6","2","2","4","15","11","11","0","28","0","0","0","0","5","1",".179","9253"
"Abraham Almonte","Royals","50","134","151","24","18","1","2","3","15","9","15","0","36","0","1","1","6","2","2",".179","5486"
"Danny Santana","Braves","15","28","32","5","2","3","0","0","4","2","3","0","11","1","0","0","0","1","1",".179","10322"
"Chris Young","Angels","56","113","128","19","10","2","1","6","17","13","11","0","37","2","1","1","1","2","0",".168","3882"
"Paulo Orlando","Royals","25","90","93","15","12","3","0","0","6","5","3","0","25","0","0","0","3","0","0",".167","8628"
"Gabriel Guerrero","Reds","14","18","18","3","2","0","0","1","1","1","0","0","8","0","0","0","0","0","0",".167","14528"
"Boog Powell","Athletics","7","24","25","4","2","1","1","0","3","0","1","0","6","0","0","0","1","1","1",".167","15103"
"Byron Buxton","Twins","28","90","94","14","10","4","0","0","8","4","3","0","28","0","0","1","1","5","0",".156","14161"
"Jake Smolinski","Athletics","20","39","41","5","3","1","1","0","2","2","1","0","10","1","0","0","4","1","0",".128","5408"
"Ryan Cordell","White Sox","19","37","40","4","2","1","0","1","3","4","0","0","15","1","2","0","0","0","0",".108","15181"
"Mike Gerber","Tigers","18","42","47","4","3","1","0","0","2","2","4","0","21","0","1","0","1","0","0",".095","16115"
"Mike Tauchman","Rockies","21","32","37","3","2","1","0","0","5","0","4","0","15","0","0","1","0","1","0",".094","15274"
"Matt den Dekker","Mets","8","18","21","0","0","0","0","0","0","1","2","0","9","0","1","0","0","0","0",".000","11385"
