"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Caleb Joseph","Orioles","82","265","280","58","39","14","2","3","28","17","10","0","68","3","1","1","3","2","1",".219","7087"
"Grayson Greiner","Tigers","30","96","116","21","15","6","0","0","9","12","17","0","32","0","3","0","0","0","1",".219","17062"
"Jacob Stallings","Pirates","14","37","41","8","8","0","0","0","2","5","3","0","9","0","1","0","2","0","0",".216","13723"
"David Freitas","Mariners","36","93","106","20","13","6","0","1","9","5","8","0","25","0","0","1","2","0","0",".215","10619"
"Brian McCann","Astros","63","189","216","40","30","3","0","7","22","23","19","0","40","6","2","0","7","0","1",".212","4810"
"Chris Gimenez","- - -","25","57","66","12","9","1","0","2","7","7","6","0","16","1","2","0","2","1","0",".211","7324"
"Kevin Plawecki","Mets","79","238","277","50","28","13","2","7","33","30","28","2","65","9","1","1","12","0","1",".210","13807"
"Jesus Sucre","Rays","73","182","198","38","32","5","0","1","9","17","9","2","29","1","2","4","4","1","0",".209","5942"
"Christian Vazquez","Red Sox","80","251","269","52","39","10","0","3","24","16","13","1","41","4","0","1","5","4","1",".207","9774"
"Tomas Telis","Marlins","23","29","31","6","5","1","0","0","2","1","2","0","8","0","0","0","1","0","0",".207","10067"
"Cam Gallagher","Royals","22","63","69","13","9","3","0","1","5","7","3","0","15","1","1","1","1","0","0",".206","12981"
"Bryan Holaday","Marlins","61","151","166","31","25","5","0","1","7","16","10","2","29","2","2","1","4","0","0",".205","11287"
"Austin Barnes","Dodgers","100","200","238","41","32","5","0","4","32","14","31","4","67","6","0","1","7","4","3",".205","12158"
"Josh Phegley","Athletics","39","93","102","19","10","7","0","2","13","15","6","0","27","1","2","0","3","0","0",".204","9308"
"Francisco Arcia","Angels","41","103","106","21","10","5","0","6","10","23","1","0","27","2","0","0","4","1","0",".204","10286"
"Francisco Pena","Cardinals","58","133","142","27","22","3","0","2","10","8","6","3","43","1","2","0","5","1","0",".203","8298"
"John Ryan Murphy","Diamondbacks","87","208","223","42","24","9","0","9","19","24","11","1","71","1","1","2","1","0","0",".202","10346"
"Mike Zunino","Mariners","113","373","405","75","37","18","0","20","37","44","24","0","150","6","2","0","7","0","0",".201","13265"
"Jeff Mathis","Diamondbacks","69","195","218","39","28","9","1","1","15","20","20","1","66","0","2","1","7","0","0",".200","3448"
"Chris Stewart","- - -","8","15","17","3","3","0","0","0","3","3","1","0","1","0","1","0","2","0","0",".200","3878"
"Travis d'Arnaud","Mets","4","15","16","3","2","0","0","1","1","3","1","0","5","0","0","0","0","0","0",".200","7739"
"Jacob Nottingham","Brewers","9","20","24","4","3","1","0","0","2","0","4","0","8","0","0","0","0","0","0",".200","16448"
"Andrew Knapp","Phillies","84","187","215","37","25","6","2","4","19","15","24","1","75","2","1","1","2","1","0",".198","14942"
"Russell Martin","Blue Jays","90","289","352","56","38","8","0","10","37","25","56","0","82","7","0","0","7","0","3",".194","4616"
"Drew Butera","- - -","62","163","182","31","19","9","0","3","13","21","15","0","39","2","2","0","4","0","0",".190","3411"
"Nick Ciuffo","Rays","16","37","44","7","5","1","0","1","3","5","3","0","12","1","1","2","1","0","0",".189","16291"
"Jett Bandy","Brewers","24","64","71","12","9","2","0","1","5","1","3","0","23","4","0","0","0","0","0",".188","12508"
"Gary Sanchez","Yankees","89","323","374","60","25","17","0","18","51","53","46","0","94","3","2","0","10","1","0",".186","11442"
"Bruce Maxwell","Athletics","18","55","58","10","5","4","0","1","5","6","2","0","13","0","1","0","3","0","0",".182","13866"
"Chance Sisco","Orioles","63","160","184","29","19","8","0","2","13","16","13","0","66","11","0","0","2","1","0",".181","15694"
"Francisco Mejia","- - -","21","56","62","10","5","2","0","3","6","8","5","0","19","1","0","0","2","0","0",".179","16403"
"Bobby Wilson","Twins","47","135","151","24","14","8","0","2","12","16","12","0","37","0","2","2","6","0","0",".178","6564"
"Chad Wallach","Marlins","15","45","52","8","6","1","0","1","4","5","4","0","23","2","0","1","0","0","0",".178","17161"
"Sandy Leon","Red Sox","89","265","288","47","30","12","0","5","30","22","15","0","75","4","1","3","6","1","0",".177","5273"
