"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Ryan McMahon","Rockies","91","181","202","42","27","9","1","5","17","19","18","2","64","2","1","0","0","1","0",".232","15112"
"Tim Beckham","Orioles","96","369","402","85","56","17","0","12","45","35","27","0","100","3","2","1","10","1","2",".230","7949"
"Hunter Dozier","Royals","102","362","388","83","49","19","4","11","36","34","24","0","109","1","1","0","12","2","3",".229","15117"
"Yangervis Solarte","Blue Jays","122","468","506","106","69","20","0","17","50","54","31","1","72","3","3","1","21","1","3",".226","5352"
"Jose Osuna","Pirates","51","106","111","24","12","9","0","3","14","11","3","0","22","1","1","0","2","0","0",".226","12937"
"Jeimer Candelario","Tigers","144","539","619","121","71","28","3","19","78","54","66","1","160","9","5","0","4","3","2",".224","13621"
"Jake Lamb","Diamondbacks","56","207","238","46","32","8","0","6","34","31","26","0","65","1","4","0","4","1","2",".222","13329"
"Kyle Seager","Mariners","155","583","630","129","70","36","1","22","62","78","38","3","138","5","4","0","10","2","2",".221","9785"
"Zack Cozart","Angels","58","224","253","49","29","13","2","5","29","18","19","0","42","7","3","0","7","0","0",".219","2616"
"Ryan Flaherty","Braves","81","161","182","35","27","6","0","2","17","13","18","4","41","1","1","1","5","4","2",".217","7888"
"Chase d'Arnaud","Giants","42","93","100","20","12","5","0","3","9","9","4","0","37","1","1","1","0","2","1",".215","6652"
"J.P. Crawford","Phillies","49","117","138","25","13","6","3","3","17","12","13","0","37","5","0","2","2","2","0",".214","15491"
"Todd Frazier","Mets","115","408","472","87","51","18","0","18","54","59","48","1","112","8","8","0","10","9","4",".213","785"
"Ildemaro Vargas","Diamondbacks","14","19","20","4","3","0","0","1","2","4","1","0","4","0","0","0","1","1","0",".211","13324"
"Luis Guillorme","Mets","35","67","74","14","12","2","0","0","4","5","7","0","3","0","0","0","1","1","0",".209","16451"
"Jace Peterson","- - -","96","210","246","42","24","13","2","3","21","28","31","0","58","3","1","1","8","13","3",".200","12325"
"Luis Valbuena","Angels","96","266","288","53","35","9","0","9","23","33","19","3","100","1","2","0","2","3","0",".199","4969"
"Miguel Sano","Twins","71","266","299","53","26","14","0","13","32","41","31","0","115","0","2","0","7","0","0",".199","12164"
"Cheslor Cuthbert","Royals","30","103","117","20","15","2","0","3","11","7","11","0","23","2","1","0","5","0","1",".194","10473"
"Jose Reyes","Mets","110","228","251","43","24","12","3","4","30","16","22","1","39","0","0","1","5","5","2",".189","1736"
"Hanser Alberto","Rangers","13","27","30","5","3","2","0","0","0","0","2","0","4","0","0","1","0","0","1",".185","11902"
"Gordon Beckham","Mariners","22","44","50","8","7","1","0","0","3","1","4","0","11","0","0","2","1","1","0",".182","9015"
"Ramon Torres","Royals","9","28","29","5","4","1","0","0","4","1","1","0","3","0","0","0","1","0","0",".179","14113"
"Taylor Ward","Angels","40","135","147","24","15","3","0","6","14","15","9","0","45","3","0","0","0","2","0",".178","17548"
"Jesmuel Valentin","Phillies","46","79","89","14","7","5","1","1","8","6","8","0","24","1","1","0","1","0","0",".177","14548"
"J.D. Davis","Astros","42","103","113","18","15","2","0","1","9","5","10","0","29","0","0","0","3","0","0",".175","16219"
"Steve Wilkerson","Orioles","16","46","49","8","5","3","0","0","2","3","3","0","16","0","0","0","0","1","0",".174","16041"
"Yadiel Rivera","Marlins","111","139","160","24","20","3","0","1","13","9","19","3","51","0","2","0","3","2","1",".173","11863"
"Brandon Drury","- - -","26","77","86","13","8","4","0","1","5","10","7","0","20","2","0","0","5","0","0",".169","11615"
"Deven Marrero","Diamondbacks","49","78","85","13","11","1","1","0","11","7","6","0","23","0","1","0","5","3","0",".167","13325"
"Jack Reinheimer","Mets","21","30","35","5","5","0","0","0","4","0","5","0","9","0","0","0","1","1","1",".167","14938"
"Matt Reynolds","Nationals","12","13","14","2","2","0","0","0","1","1","1","0","4","0","0","0","0","0","0",".154","13788"
"Phillip Evans","Mets","15","21","23","3","3","0","0","0","1","1","2","0","8","0","0","0","1","1","0",".143","12950"
"Cliff Pennington","Reds","16","29","34","4","4","0","0","0","1","0","5","0","13","0","0","0","1","0","0",".138","3395"
"Kevin Kramer","Pirates","21","37","40","5","5","0","0","0","5","4","2","0","20","0","1","0","0","0","0",".135","17689"
"Kaleb Cowart","Angels","47","112","124","15","6","7","1","1","7","10","10","0","44","1","1","0","2","1","0",".134","11494"
"Brandon Phillips","Red Sox","9","23","27","3","2","0","0","1","4","2","4","0","7","0","0","0","1","0","0",".130","791"
"Phil Gosselin","Reds","20","24","28","3","2","0","0","1","5","2","4","1","8","0","0","0","1","0","0",".125","10953"
"Chase Headley","Padres","27","52","60","6","5","1","0","0","2","4","6","0","20","2","0","0","3","0","0",".115","4720"
"Ty Kelly","Mets","9","11","12","1","1","0","0","0","1","0","1","0","2","0","0","0","1","0","0",".091","7740"
"Nolan Fontana","Angels","8","11","12","1","0","0","0","1","1","1","1","0","6","0","0","0","0","0","0",".091","13267"
"Rio Ruiz","Braves","14","12","15","1","1","0","0","0","1","0","2","0","5","1","0","0","0","0","0",".083","14103"
"Mitch Walding","Phillies","13","17","19","1","0","0","0","1","1","2","2","0","12","0","0","0","1","0","0",".059","13006"
