"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Luke Voit","- - -","47","143","161","46","26","5","0","15","30","36","17","0","43","1","0","0","3","0","0",".322","14811"
"Rowdy Tellez","Blue Jays","23","70","73","22","9","9","0","4","10","14","2","0","21","0","1","0","0","0","0",".314","15679"
"Yandy Diaz","Indians","39","109","120","34","26","5","2","1","15","15","11","1","19","0","0","0","6","0","0",".312","16578"
"Freddie Freeman","Braves","162","618","707","191","120","44","4","23","94","98","76","12","132","7","6","0","11","10","3",".309","5361"
"Jose Martinez","Cardinals","152","534","590","163","116","30","0","17","64","83","49","0","104","2","3","2","15","0","3",".305","7996"
"Miguel Cabrera","Tigers","38","134","157","40","26","11","0","3","17","22","22","4","27","0","1","0","6","0","0",".299","1744"
"David Freese","- - -","113","280","312","83","58","12","2","11","38","51","24","1","72","5","3","0","10","0","0",".296","9549"
"Yuli Gurriel","Astros","136","537","573","156","109","33","1","13","70","85","23","0","63","6","7","0","22","5","1",".291","19198"
"Paul Goldschmidt","Diamondbacks","158","593","690","172","99","35","5","33","95","83","90","11","173","6","0","0","7","7","4",".290","9218"
"Aramis Garcia","Giants","19","63","65","18","13","1","0","4","8","9","2","0","31","0","0","0","1","0","0",".286","16925"
"Joey Votto","Reds","145","503","623","143","101","28","2","12","67","67","108","6","101","9","3","0","15","2","0",".284","4314"
"Steve Pearce","- - -","76","215","251","61","35","14","1","11","35","42","29","0","41","5","2","0","2","0","0",".284","9957"
"Anthony Rizzo","Cubs","153","566","665","160","105","29","1","25","74","101","70","15","80","20","9","0","11","6","4",".283","3473"
"Joe Mauer","Twins","127","486","543","137","103","27","1","6","64","48","51","5","86","2","3","1","9","0","1",".282","1857"
"Tyler White","Astros","66","210","237","58","31","12","3","12","27","42","24","0","49","2","1","0","1","0","1",".276","15564"
"Jesus Aguilar","Brewers","149","492","566","135","75","25","0","35","80","108","58","3","143","6","10","0","19","0","0",".274","11342"
"Matt Skole","White Sox","4","11","13","3","2","0","0","1","2","1","2","0","3","0","0","0","0","0","0",".273","12119"
"Peter O'Brien","Marlins","22","66","74","18","9","5","0","4","8","10","7","0","22","0","1","0","2","0","0",".273","13288"
"Jose Fernandez","Angels","36","116","123","31","21","8","0","2","9","11","6","0","15","1","0","0","2","1","0",".267","19254"
"Jim Adduci","Tigers","59","176","185","47","34","8","2","3","19","21","6","0","45","0","1","2","2","1","0",".267","6448"
"Wilmer Flores","Mets","126","386","429","103","67","25","0","11","43","51","29","1","42","5","9","0","8","0","0",".267","5827"
"Jose Abreu","White Sox","128","499","553","132","73","36","1","22","68","78","37","7","109","11","6","0","14","2","0",".265","15676"
"Ryan Zimmerman","Nationals","85","288","323","76","40","21","2","13","33","51","30","1","55","3","2","0","10","1","1",".264","4220"
"Max Muncy","Dodgers","137","395","481","104","50","17","2","35","75","79","79","6","131","5","2","0","4","3","0",".263","13301"
"Ryan O'Hearn","Royals","44","149","170","39","15","10","2","12","23","30","20","0","45","1","0","0","0","0","0",".262","16442"
"Josh Bell","Pirates","148","501","583","131","84","31","4","12","74","62","77","2","104","0","5","0","12","2","5",".261","13145"
"John Hicks","Tigers","81","288","312","75","53","12","1","9","35","32","22","0","84","0","1","1","9","0","1",".260","12547"
"Cody Bellinger","Dodgers","162","557","632","145","85","28","7","25","84","76","69","9","151","3","3","0","7","14","1",".260","15998"
"Matt Carpenter","Cardinals","156","564","677","145","67","42","0","36","111","81","102","17","158","6","4","0","0","4","1",".257","8090"
"Hanley Ramirez","Red Sox","44","177","195","45","32","7","0","6","25","29","14","0","35","2","2","0","9","4","1",".254","8001"
"C.J. Cron","Rays","140","501","560","127","68","28","1","30","68","74","37","2","145","17","5","0","11","1","2",".253","12546"
"Brandon Belt","Giants","112","399","456","101","67","18","2","14","50","46","49","6","107","6","2","0","2","4","0",".253","10264"
