"Name","Team","W","L","ERA","G","GS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","playerid"
"Emilio Pagan","Athletics","3","1","4.35","55","0","0","0","0","6","0","62.0","262","55","30","30","13","19","1","3","3","0","63","14771"
"Noe Ramirez","Angels","7","4","4.37","68","0","0","0","1","5","3","82.1","348","73","41","40","14","30","3","6","4","0","93","12800"
"Joe Kelly","Red Sox","4","2","4.39","73","0","0","0","2","21","5","65.2","285","57","34","32","4","32","0","5","4","0","68","9761"
"Alex Claudio","Rangers","4","2","4.54","65","0","0","0","1","14","2","67.1","295","90","35","34","4","13","3","3","0","1","40","12890"
"Brandon Kintzler","- - -","3","3","4.60","70","0","0","0","2","19","3","60.2","263","67","31","31","5","22","5","4","1","0","43","9939"
"Austin Pruitt","Rays","2","3","4.65","23","0","0","0","4","0","1","69.2","291","72","40","36","7","16","0","1","1","0","42","15290"
"Cody Allen","Indians","4","6","4.70","70","0","0","0","27","7","5","67.0","289","58","35","35","11","33","2","4","3","0","80","12183"
"Matt Andriese","- - -","3","6","5.10","36","0","0","0","0","1","0","65.1","282","72","42","37","11","20","5","1","3","0","65","12022"
"Shane Greene","Tigers","4","6","5.12","66","0","0","0","32","0","6","63.1","279","68","39","36","12","19","1","3","3","0","65","10756"
"Mike Wright","Orioles","4","2","5.38","46","0","0","0","0","1","0","78.2","359","92","47","47","11","34","1","6","4","0","67","12586"
"Trevor Hildenberger","Twins","4","6","5.42","73","0","0","0","7","17","4","73.0","319","75","46","44","12","26","9","2","2","0","70","17002"
